MasterID,Site_Name,Site_Type,Site_Address1,Site_Address2,Site_City,Site_State,Site_Zip,Site_Phone,Ext,Contact_First_Name,Contact_Last_Name,Contact_Phone,Sponsoring_Organization,Start_Date,End_Date,Days_of_operation,Comments,Breakfast_Time,Lunch_Time,Snack_Time_AM,Snack_Time_PM,Supper_Time,Site_Location,Site_Program,State_Site_ID_Number,State_Sponsor_ID_Number,sooX,sooY,SOO,Cycle,Country,RecordStatus,FNSID,Created,Season,County,LocationType,Confidence,Mapped_Status,MapX,MapY,Service_Model
406141,Lake City Library,Open,12501 28th Ave. N.E.,,Seattle,WA,98125,2065386567,,Darcy,Buendia,2065386567,Hunger Intervention Program,8/9/2024,8/9/2024,F,Please confirm mealtimes with site.,,11:00AM - 2:00PM,,,,,SFSP,681062,158876,,,WA,19,USA,U,329000,9/4/2024 0:00,2024,King County,A,100,M,-122.2977776,47.71935954,Eat On-Site
406150,Lexington Elementary,Open,200 Boardwalk Way,,Kelso,WA,98626,3605011808,,Kaydee,Harris,3605011808,Kelso School District,7/1/2024,8/1/2024,"M, T, W, TH",Please confirm mealtimes with site.,,11:30AM - 12:30PM,,,,,SFSP,686643,159957,,,WA,19,USA,U,317386,9/4/2024 0:00,2024,Cowlitz County,A,100,M,-122.9134355,46.18847349,Eat On-Site
406149,Kelso Public Library,Open,351 Three Rivers Drive,,kelso,WA,98626,3605011808,,Kaydee,Harris,3605011808,Kelso School District,6/17/2024,8/2/2024,"T, W, TH, F",Please confirm mealtimes with site.,,12:00PM - 1:00PM,,,,,SFSP,687459,159957,,,WA,19,USA,U,350015,9/4/2024 0:00,2024,Cowlitz County,A,100,M,-122.9015038,46.14153476,Eat On-Site
406152,Amistad Elementary,Open,123 S. Kent St.,,Kennewick,WA,99336,5092225073,,Christine,Benson,5092225073,Kennewick School District,6/24/2024,7/17/2024,"M, T, W, TH",Please confirm mealtimes with site.,8:30AM - 9:00AM,12:00PM - 12:30PM,,,,,SFSP,665516,159891,,,WA,19,USA,U,323133,9/4/2024 0:00,2024,Benton County,A,100,M,-119.1340717,46.20740008,Eat On-Site
406151,Wallace Elementary,Open,1213 S. 5th Avenue,,Kelso,WA,98626,3605011808,,Kaydee,Harris,3605011808,Kelso School District,7/1/2024,8/1/2024,"M, T, W, TH",Please confirm mealtimes with site.,,11:30AM - 12:30PM,,,,,SFSP,661494,159957,,,WA,19,USA,U,317391,9/4/2024 0:00,2024,Cowlitz County,A,100,M,-122.9118636,46.13488133,Eat On-Site
406153,Highlands Middle School,Open,425 S. Tweedt St.,,Kennewick,WA,99336,5092225073,,Christine,Benson,5092225073,Kennewick School District,6/24/2024,7/17/2024,"M, T, W, TH",Please confirm mealtimes with site.,7:30AM - 8:00AM,11:00AM - 11:30AM,,,,,SFSP,665546,159891,,,WA,19,USA,U,28144,9/4/2024 0:00,2024,Benton County,A,100,M,-119.1781816,46.20533044,Eat On-Site
406154,Kamiakin High School,Open,600 N Arthur St.,,Kennewick,WA,99336,5092225073,,Christine,Benson,5092225073,Kennewick School District,6/14/2024,7/19/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,7:20AM - 7:45AM,10:00AM - 12:00PM,,,,,SFSP,661141,159891,,,WA,19,USA,U,107541,9/4/2024 0:00,2024,Benton County,A,100,M,-119.1863767,46.21609696,Eat On-Site
406158,Southridge High School,Open,3520 Southridge Blvd.,,Kennewick,WA,99338,5092225073,,Christine,Benson,5092225073,Kennewick School District,6/24/2024,7/17/2024,"M, T, W, TH",Please confirm mealtimes with site.,,10:00AM - 10:30AM,,,,,SFSP,661143,159891,,,WA,19,USA,U,38936,9/4/2024 0:00,2024,Benton County,A,100,M,-119.193966,46.17831245,Eat On-Site
406155,Kennewick High School,Open,560 W. 6th Ave,,Kennewick,WA,99336,5092225073,,Christine,Benson,5092225073,Kennewick School District,6/24/2024,7/17/2024,"M, T, W, TH",Please confirm mealtimes with site.,,10:00AM - 10:30AM,,,,,SFSP,665612,159891,,,WA,19,USA,U,323179,9/4/2024 0:00,2024,Benton County,A,100,M,-119.1238576,46.20279813,Eat On-Site
406157,Southgate Elementary,Open,3121 W. 19th Ave.,,KENNEWICK,WA,99337,5092225073,,Christine,Benson,5092225073,Kennewick School District,6/24/2024,7/17/2024,"M, T, W, TH",Please confirm mealtimes with site.,8:30AM - 9:00AM,12:00PM - 12:30PM,,,,,SFSP,661132,159891,,,WA,19,USA,U,38930,9/4/2024 0:00,2024,Benton County,A,100,M,-119.1628171,46.19134789,Eat On-Site
